Date_Scraped,Date_Param,Commodity_ID,Commodity_Name,Province_ID,Province_Name,Price,Price_Type
2026-02-12,2022-01-08,2,Daging Ayam,9,Kepulauan Bangka Belitung,43150.0,1
2026-02-12,2022-01-08,2,Daging Ayam,10,Lampung,35650.0,1
2026-02-12,2022-01-08,2,Daging Ayam,11,Banten,39100.0,1
2026-02-12,2022-01-08,2,Daging Ayam,12,Jawa Barat,37500.0,1
2026-02-12,2022-01-08,2,Daging Ayam,13,DKI Jakarta,39750.0,1
2026-02-12,2022-01-08,2,Daging Ayam,14,Jawa Tengah,34950.0,1
2026-02-12,2022-01-08,2,Daging Ayam,15,DI Yogyakarta,37750.0,1
2026-02-12,2022-01-08,2,Daging Ayam,16,Jawa Timur,35300.0,1
2026-02-12,2022-01-08,2,Daging Ayam,17,Bali,39750.0,1
2026-02-12,2022-01-08,2,Daging Ayam,18,Nusa Tenggara Barat,40500.0,1
2026-02-12,2022-01-08,2,Daging Ayam,19,Nusa Tenggara Timur,45950.0,1
2026-02-12,2022-01-08,2,Daging Ayam,20,Kalimantan Barat,39300.0,1
2026-02-12,2022-01-08,2,Daging Ayam,21,Kalimantan Selatan,45850.0,1
2026-02-12,2022-01-08,2,Daging Ayam,22,Kalimantan Tengah,41750.0,1
2026-02-12,2022-01-08,2,Daging Ayam,23,Kalimantan Timur,33550.0,1
2026-02-12,2022-01-08,2,Daging Ayam,24,Kalimantan Utara,42750.0,1
2026-02-12,2022-01-08,2,Daging Ayam,25,Gorontalo,28350.0,1
2026-02-12,2022-01-08,2,Daging Ayam,26,Sulawesi Selatan,28100.0,1
2026-02-12,2022-01-08,2,Daging Ayam,27,Sulawesi Tenggara,38200.0,1
2026-02-12,2022-01-08,2,Daging Ayam,28,Sulawesi Tengah,32650.0,1
2026-02-12,2022-01-08,2,Daging Ayam,29,Sulawesi Utara,36800.0,1
2026-02-12,2022-01-08,2,Daging Ayam,30,Sulawesi Barat,28200.0,1
2026-02-12,2022-01-08,2,Daging Ayam,31,Maluku,42550.0,1
2026-02-12,2022-01-08,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-08,2,Daging Ayam,33,Papua,39250.0,1
2026-02-12,2022-01-08,2,Daging Ayam,34,Papua Barat,40600.0,1
2026-02-12,2022-01-09,2,Daging Ayam,1,Aceh,33350.0,1
2026-02-12,2022-01-09,2,Daging Ayam,2,Sumatera Utara,40000.0,1
2026-02-12,2022-01-09,2,Daging Ayam,3,Sumatera Barat,50250.0,1
2026-02-12,2022-01-09,2,Daging Ayam,4,Riau,36250.0,1
2026-02-12,2022-01-09,2,Daging Ayam,5,Kepulauan Riau,38850.0,1
2026-02-12,2022-01-09,2,Daging Ayam,6,Jambi,41000.0,1
2026-02-12,2022-01-09,2,Daging Ayam,7,Bengkulu,40500.0,1
2026-02-12,2022-01-09,2,Daging Ayam,8,Sumatera Selatan,39500.0,1
2026-02-12,2022-01-09,2,Daging Ayam,9,Kepulauan Bangka Belitung,43150.0,1
2026-02-12,2022-01-09,2,Daging Ayam,10,Lampung,35650.0,1
2026-02-12,2022-01-09,2,Daging Ayam,11,Banten,39100.0,1
2026-02-12,2022-01-09,2,Daging Ayam,12,Jawa Barat,37500.0,1
2026-02-12,2022-01-09,2,Daging Ayam,13,DKI Jakarta,39750.0,1
2026-02-12,2022-01-09,2,Daging Ayam,14,Jawa Tengah,34950.0,1
2026-02-12,2022-01-09,2,Daging Ayam,15,DI Yogyakarta,37750.0,1
2026-02-12,2022-01-09,2,Daging Ayam,16,Jawa Timur,35300.0,1
2026-02-12,2022-01-09,2,Daging Ayam,17,Bali,39750.0,1
2026-02-12,2022-01-09,2,Daging Ayam,18,Nusa Tenggara Barat,40500.0,1
2026-02-12,2022-01-09,2,Daging Ayam,19,Nusa Tenggara Timur,45950.0,1
2026-02-12,2022-01-09,2,Daging Ayam,20,Kalimantan Barat,39300.0,1
2026-02-12,2022-01-09,2,Daging Ayam,21,Kalimantan Selatan,45850.0,1
2026-02-12,2022-01-09,2,Daging Ayam,22,Kalimantan Tengah,41750.0,1
2026-02-12,2022-01-09,2,Daging Ayam,23,Kalimantan Timur,33550.0,1
2026-02-12,2022-01-09,2,Daging Ayam,24,Kalimantan Utara,42750.0,1
2026-02-12,2022-01-09,2,Daging Ayam,25,Gorontalo,28350.0,1
2026-02-12,2022-01-09,2,Daging Ayam,26,Sulawesi Selatan,28100.0,1
2026-02-12,2022-01-09,2,Daging Ayam,27,Sulawesi Tenggara,38200.0,1
2026-02-12,2022-01-09,2,Daging Ayam,28,Sulawesi Tengah,32650.0,1
2026-02-12,2022-01-09,2,Daging Ayam,29,Sulawesi Utara,36800.0,1
2026-02-12,2022-01-09,2,Daging Ayam,30,Sulawesi Barat,28200.0,1
2026-02-12,2022-01-09,2,Daging Ayam,31,Maluku,42550.0,1
2026-02-12,2022-01-09,2,Daging Ayam,32,Maluku Utara,39000.0,1
2026-02-12,2022-01-09,2,Daging Ayam,33,Papua,39250.0,1
2026-02-12,2022-01-09,2,Daging Ayam,34,Papua Barat,40600.0,1
2026-02-12,2022-01-10,2,Daging Ayam,1,Aceh,33350.0,1
2026-02-12,2022-01-10,2,Daging Ayam,2,Sumatera Utara,40450.0,1
2026-02-12,2022-01-10,2,Daging Ayam,3,Sumatera Barat,50700.0,1
2026-02-12,2022-01-10,2,Daging Ayam,4,Riau,37400.0,1
2026-02-12,2022-01-10,2,Daging Ayam,5,Kepulauan Riau,38600.0,1
2026-02-12,2022-01-10,2,Daging Ayam,6,Jambi,40400.0,1
2026-02-12,2022-01-10,2,Daging Ayam,7,Bengkulu,42900.0,1
2026-02-12,2022-01-10,2,Daging Ayam,8,Sumatera Selatan,41400.0,1
2026-02-12,2022-01-10,2,Daging Ayam,9,Kepulauan Bangka Belitung,44000.0,1
2026-02-12,2022-01-10,2,Daging Ayam,10,Lampung,36900.0,1
2026-02-12,2022-01-10,2,Daging Ayam,11,Banten,40250.0,1
2026-02-12,2022-01-10,2,Daging Ayam,12,Jawa Barat,38400.0,1
2026-02-12,2022-01-10,2,Daging Ayam,13,DKI Jakarta,44500.0,1
2026-02-12,2022-01-10,2,Daging Ayam,14,Jawa Tengah,36400.0,1
2026-02-12,2022-01-10,2,Daging Ayam,15,DI Yogyakarta,37750.0,1
2026-02-12,2022-01-10,2,Daging Ayam,16,Jawa Timur,35450.0,1
2026-02-12,2022-01-10,2,Daging Ayam,17,Bali,40000.0,1
2026-02-12,2022-01-10,2,Daging Ayam,18,Nusa Tenggara Barat,40950.0,1
2026-02-12,2022-01-10,2,Daging Ayam,19,Nusa Tenggara Timur,47300.0,1
2026-02-12,2022-01-10,2,Daging Ayam,20,Kalimantan Barat,39450.0,1
2026-02-12,2022-01-10,2,Daging Ayam,21,Kalimantan Selatan,45600.0,1
2026-02-12,2022-01-10,2,Daging Ayam,22,Kalimantan Tengah,42400.0,1
